"Dependent_Variable","ARDL_Spec","AIC","BIC","IPI_Japan","IPI_India","Bilateral_ExchRate","Cointegration"
"agricultural_machinery_and_implemen","ARDL(1,2,2,2)",858.5398,879.3919,NA,NA,NA,"Test Failed"
"agricultural_machinery_and_implemen","ARDL(1,2,2,2)",858.5398,879.3919,NA,NA,NA,"Test Failed"
"aircraft","ARDL(2,1,1,1)",855.798,873.1747,NA,NA,NA,"Test Failed"
"alcoholic_beverages","ARDL(1,2,2,2)",633.7068,654.5588,NA,NA,NA,"Test Failed"
"aluminium","ARDL(2,1,1,1)",840.8348,858.2115,NA,NA,NA,"Test Failed"
"anim_veg__oils_&_fats__processed__","Failed",NA,NA,NA,NA,NA,"Not Tested"
"animal_oils_and_fats","ARDL(2,1,1,1)",662.7729,680.1496,NA,NA,NA,"Test Failed"
"articles_of_artificial_plastic_mate","ARDL(2,1,1,1)",917.6698,935.0465,NA,NA,NA,"Test Failed"
"articles_of_paper__pulp__paperboard","ARDL(2,1,1,1)",801.4328,818.8095,NA,NA,NA,"Test Failed"
"articles_of_rubber__n_e_s_","ARDL(2,1,1,1)",936.268,953.6447,NA,NA,NA,"Test Failed"
"chemical_materials_and_products__n_","ARDL(2,1,1,1)",961.4116,978.7883,NA,NA,NA,"Test Failed"
"clay_and_refractory_construction_ma","ARDL(1,2,2,2)",823.7305,844.5825,NA,NA,NA,"Test Failed"
"clothing_except_fur_clothing","ARDL(2,1,1,1)",664.2633,681.64,NA,NA,NA,"Test Failed"
"coal__coke_&_briquettes","Failed",NA,NA,NA,NA,NA,"Not Tested"
"copper","ARDL(2,2,2,2)",1105.1577,1127.7474,NA,NA,NA,"Test Failed"
"cotton_fabrics__woven_ex__narrow_or","ARDL(2,1,1,1)",736.1654,753.5421,NA,NA,NA,"Test Failed"
"crude_animal_materials__n_e_s_","ARDL(1,2,2,2)",532.2057,553.0577,NA,NA,NA,"Test Failed"
"crude_chemicals_from_coal__petroleu","ARDL(2,1,1,1)",741.2632,758.6399,NA,NA,NA,"Test Failed"
"crude_rubber_incl__synthetic_&_recl","Failed",NA,NA,NA,NA,NA,"Not Tested"
"crude_vegetable_materials__n_e_s_","ARDL(1,2,2,2)",773.9362,794.7882,NA,NA,NA,"Test Failed"
"cutlery","ARDL(1,2,2,2)",548.2867,569.1388,NA,NA,NA,"Test Failed"
"developed_cinematographic_film","ARDL(2,1,1,1)",483.6755,501.0521,NA,NA,NA,"Test Failed"
"domestic_electrical_equipment","ARDL(2,1,1,1)",718.9098,736.2865,NA,NA,NA,"Test Failed"
"dyeing_&_tanning_extracts__synth__t","Failed",NA,NA,NA,NA,NA,"Not Tested"
"elec__apparatus_for_medic_purp___ra","ARDL(1,2,2,2)",873.3562,894.2083,NA,NA,NA,"Test Failed"
"electric_power_machinery_and_switch","ARDL(2,1,1,1)",1040.5623,1057.939,NA,NA,NA,"Test Failed"
"equipment_for_distributing_electric","ARDL(2,1,1,1)",899.6777,917.0544,NA,NA,NA,"Test Failed"
"essential_oils__perfume_and_flavour","ARDL(2,1,1,1)",797.4548,814.8315,NA,NA,NA,"Test Failed"
"explosives_and_pyrotechnic_products","ARDL(2,1,1,1)",475.7076,493.0843,NA,NA,NA,"Test Failed"
"fertilizers_manufactured","ARDL(2,1,1,1)",899.542,916.9187,NA,NA,NA,"Test Failed"
"fertilizers__crude","ARDL(1,2,2,2)",745.4664,766.3184,NA,NA,NA,"Test Failed"
"finished_structural_parts_and_struc","ARDL(2,1,1,1)",888.8851,906.2618,NA,NA,NA,"Test Failed"
"furniture","ARDL(2,1,1,1)",785.4627,802.8394,NA,NA,NA,"Test Failed"
"glass","ARDL(2,1,1,1)",875.8264,893.2031,NA,NA,NA,"Test Failed"
"glassware","ARDL(2,2,2,2)",687.5536,710.1433,NA,NA,NA,"Test Failed"
"hoop_and_strip_of_iron_or_steel","ARDL(2,1,1,1)",682.4996,699.8763,NA,NA,NA,"Test Failed"
"ingots_&_other_primary_forms_of_iro","Failed",NA,NA,NA,NA,NA,"Not Tested"
"inorg__chemicals_elems___oxides__ha","ARDL(2,1,1,1)",967.7761,985.1528,NA,NA,NA,"Test Failed"
"iron_and_steel_bars__rods__angles__","ARDL(2,1,1,1)",959.2066,976.5833,NA,NA,NA,"Test Failed"
"iron_and_steel_scrap","ARDL(1,2,2,2)",884.3456,905.1976,NA,NA,NA,"Test Failed"
"iron_and_steel_wire__excluding_wire","ARDL(2,1,1,1)",826.2199,843.5966,NA,NA,NA,"Test Failed"
"iron_steel_castings_forgings_unwork","ARDL(2,1,1,1)",804.0259,821.4026,NA,NA,NA,"Test Failed"
"lead","ARDL(2,2,2,2)",805.3408,827.9305,NA,NA,NA,"Test Failed"
