"Dependent_Variable","ARDL_Specification","AIC","BIC","Intercept_Coeff","Intercept_SE","Intercept_tStat","Intercept_pValue","IPI_Japan_Coeff","IPI_Japan_SE","IPI_Japan_tStat","IPI_Japan_pValue","IPI_India_Coeff","IPI_India_SE","IPI_India_tStat","IPI_India_pValue","Bilateral_ExchRate_Coeff","Bilateral_ExchRate_SE","Bilateral_ExchRate_tStat","Bilateral_ExchRate_pValue","Cointegration_Status"
"agricultural_machinery_and_implemen","ARDL(1,2,2,2)",858.5398,879.3919,3969.10315175937,25484.5530808739,0.155745448592472,0.877243439424868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"agricultural_machinery_and_implemen","ARDL(1,2,2,2)",858.5398,879.3919,3969.10315175937,25484.5530808739,0.155745448592472,0.877243439424868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"aircraft","ARDL(2,1,1,1)",855.798,873.1747,-106.84463579466,18046.0205693374,-0.0059206757181804,0.995311659825405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"alcoholic_beverages","ARDL(1,2,2,2)",633.7068,654.5588,4624.21495437068,1609.30857901204,2.87341720206917,0.00726899116042155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"aluminium","ARDL(2,1,1,1)",840.8348,858.2115,-5031.61466202816,11431.9802164498,-0.440135004326549,0.662708774627671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"anim_veg__oils_&_fats__processed__","Failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Tested"
"animal_oils_and_fats","ARDL(2,1,1,1)",662.7729,680.1496,3493.41361850999,1367.77866735702,2.55407815744076,0.0154492319916229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"articles_of_artificial_plastic_mate","ARDL(2,1,1,1)",917.6698,935.0465,-12291.6415748637,147553.014864982,-0.0833032221409447,0.934113714985942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"articles_of_paper__pulp__paperboard","ARDL(2,1,1,1)",801.4328,818.8095,-9647.00689984128,37953.1922117416,-0.254181699552976,0.800932371518562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"articles_of_rubber__n_e_s_","ARDL(2,1,1,1)",936.268,953.6447,62076.628522881,144650.222702983,0.429149899411811,0.670602974893622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"chemical_materials_and_products__n_","ARDL(2,1,1,1)",961.4116,978.7883,372931.423430919,183004.372196816,2.03782794342116,0.0496492003906179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"clay_and_refractory_construction_ma","ARDL(1,2,2,2)",823.7305,844.5825,21816.1395233449,11149.5227652974,1.95668819039027,0.0594435181579955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"clothing_except_fur_clothing","ARDL(2,1,1,1)",664.2633,681.64,2208.77173625047,1423.76623041885,1.55135842462052,0.13035449237855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"coal__coke_&_briquettes","Failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Tested"
"copper","ARDL(2,2,2,2)",1105.1577,1127.7474,371579.088403607,302811.33962947,1.22709766701037,0.229328877885376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"cotton_fabrics__woven_ex__narrow_or","ARDL(2,1,1,1)",736.1654,753.5421,-4729.93888397168,12137.7381910121,-0.389688656118332,0.699270512462333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"crude_animal_materials__n_e_s_","ARDL(1,2,2,2)",532.2057,553.0577,261.577697338128,313.684475360633,0.833887928426806,0.41072385372126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"crude_chemicals_from_coal__petroleu","ARDL(2,1,1,1)",741.2632,758.6399,3803.67116512843,2981.92590608135,1.27557534456883,0.211012134851892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"crude_rubber_incl__synthetic_&_recl","Failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Tested"
"crude_vegetable_materials__n_e_s_","ARDL(1,2,2,2)",773.9362,794.7882,-7022.88595211805,21380.490680926,-0.328471692110571,0.744763614640487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"cutlery","ARDL(1,2,2,2)",548.2867,569.1388,644.13985930648,451.861748646998,1.42552420344324,0.163997865716492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"developed_cinematographic_film","ARDL(2,1,1,1)",483.6755,501.0521,359.231937106768,248.098303971996,1.44794193009605,0.157068180839791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"domestic_electrical_equipment","ARDL(2,1,1,1)",718.9098,736.2865,5199.8237241179,3761.7294993318,1.38229602235928,0.176165755452713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"dyeing_&_tanning_extracts__synth__t","Failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Tested"
"elec__apparatus_for_medic_purp___ra","ARDL(1,2,2,2)",873.3562,894.2083,-8723.5465205166,33520.1349470947,-0.260247953484826,0.796393381967606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"electric_power_machinery_and_switch","ARDL(2,1,1,1)",1040.5623,1057.939,374372.424401261,414494.893823184,0.903201535121832,0.372965039504688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"equipment_for_distributing_electric","ARDL(2,1,1,1)",899.6777,917.0544,49129.6686435743,49561.5902458753,0.99128515448842,0.328759606180467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"essential_oils__perfume_and_flavour","ARDL(2,1,1,1)",797.4548,814.8315,10002.1950398607,25808.778180142,0.38755011841501,0.70083746532031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"explosives_and_pyrotechnic_products","ARDL(2,1,1,1)",475.7076,493.0843,107.040335944671,123.742287586649,0.865026322304872,0.393269350345445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"fertilizers_manufactured","ARDL(2,1,1,1)",899.542,916.9187,-78951.1885239038,20980.6238599273,-3.76305247408297,0.000655694643506207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"fertilizers__crude","ARDL(1,2,2,2)",745.4664,766.3184,-5145.11594349581,5348.75426566666,-0.961927897215619,0.343529526781833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"finished_structural_parts_and_struc","ARDL(2,1,1,1)",888.8851,906.2618,64832.1045482972,21465.2034985197,3.02033495991632,0.00484667738606974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"furniture","ARDL(2,1,1,1)",785.4627,802.8394,5499.64353640764,36848.2360829619,0.149251202256344,0.882263824939794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"glass","ARDL(2,1,1,1)",875.8264,893.2031,50844.4408744388,37371.3040765794,1.36052091653668,0.182886143686132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"glassware","ARDL(2,2,2,2)",687.5536,710.1433,2800.31584818593,1968.16761229923,1.42280354106355,0.165109196141585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"hoop_and_strip_of_iron_or_steel","ARDL(2,1,1,1)",682.4996,699.8763,2967.55554443871,2906.66139532825,1.02094985993496,0.314704873988467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"ingots_&_other_primary_forms_of_iro","Failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Tested"
"inorg__chemicals_elems___oxides__ha","ARDL(2,1,1,1)",967.7761,985.1528,224805.273272353,121881.530599526,1.8444572542415,0.074109355302548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"iron_and_steel_bars__rods__angles__","ARDL(2,1,1,1)",959.2066,976.5833,118680.227421099,137876.047444254,0.86077480186748,0.395573227789786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"iron_and_steel_scrap","ARDL(1,2,2,2)",884.3456,905.1976,18238.2377960793,22424.0243291468,0.813334731017626,0.422229340475479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
