"Date","Price","Open","High","Low","Vol.","Change %"
"11/15/2024","17.42","17.40","17.60","16.90","896.83K","1.34%"
"11/14/2024","17.19","16.70","17.60","16.55","1.01M","2.44%"
"11/13/2024","16.78","16.95","16.95","16.50","239.44K","-0.47%"
"11/12/2024","16.86","17.00","17.20","16.70","179.95K","-0.94%"
"11/11/2024","17.02","17.46","17.46","16.97","364.92K","-1.16%"
"11/08/2024","17.22","17.14","17.49","17.01","208.00K","0.47%"
"11/07/2024","17.14","17.24","17.60","17.00","289.42K","-0.98%"
"11/06/2024","17.31","17.24","17.50","16.60","833.84K","2.00%"
"11/05/2024","16.97","17.40","17.47","16.50","384.38K","-0.53%"
"11/04/2024","17.06","17.25","17.40","16.92","2.15M","1.07%"
"11/01/2024","16.88","16.30","17.00","15.81","3.28M","4.58%"
"10/31/2024","16.14","16.84","16.84","16.01","431.79K","-2.77%"
"10/30/2024","16.60","17.49","17.49","16.40","392.40K","-2.35%"
"10/29/2024","17.00","17.45","17.45","16.50","1.59M","-1.90%"
"10/28/2024","17.33","17.85","18.09","17.21","1.06M","-3.24%"
"10/25/2024","17.91","18.11","18.15","17.87","1.12M","-0.33%"
"10/24/2024","17.97","18.40","18.40","17.69","2.83M","0.00%"
"10/23/2024","17.97","16.50","18.22","16.30","9.89M","9.57%"
"10/22/2024","16.40","17.05","17.38","16.35","6.55M","-2.38%"
"10/21/2024","16.80","15.40","16.80","15.40","10.23M","9.95%"
"10/18/2024","15.28","14.81","15.40","14.40","5.12M","-1.55%"
"10/17/2024","15.52","14.70","15.52","14.45","9.55M","7.63%"
"10/16/2024","14.42","14.85","14.85","14.37","532.70K","-0.41%"
"10/15/2024","14.48","14.90","15.00","14.41","1.11M","-0.82%"
"10/14/2024","14.60","14.40","14.85","14.20","664.63K","1.74%"
"10/11/2024","14.35","14.60","14.60","14.02","345.24K","-0.83%"
"10/10/2024","14.47","14.70","14.82","14.06","1.60M","-0.89%"
"10/09/2024","14.60","14.50","14.72","14.25","1.11M","1.46%"
