year,aluminium,anim_veg_oils_fats_processed,articles_of_artificial_plastic_mate,articles_of_paper_pulp_paperboard,cereal_preps_preps_of_flour_of_fr,chemical_materials_and_products_n,clothing_except_fur_clothing,coffee,cotton,cotton_fabrics_woven_ex_narrow_or,crude_animal_materials_n_e_s,crude_rubber_incl_synthetic_recl,crude_vegetable_materials_n_e_s,cutlery,developed_cinematographic_film,domestic_electrical_equipment,dyeing_tanning_extracts_synth_t,electric_power_machinery_and_switch,essential_oils_perfume_and_flavour,feed_stuff_for_animals_excl_unmil,fish_fresh_simply_preserved,fish_in_airtight_containers_n_e_s,floor_coverings_tapestries_etc,food_preparations_n_e_s,footwear,fruit_fresh_and_nuts_excl_oil_n,fruit_preserved_and_fruit_preparat,furniture,glass,glassware,household_equipment_of_base_metals,ingots_other_primary_forms_of_iro,inorg_chemicals_elems_oxides_ha,iron_and_steel_bars_rods_angles,iron_and_steel_scrap,iron_ore_concentrates,iron_steel_castings_forgings_unwork,jewellery_and_gold_silver_smiths_wa,leather,lime_cement_fabr_bldg_mat_ex_g,live_animals,machinery_and_appliances_non_electr,machines_for_special_industries,made_up_articles_wholly_or_chiefly,manuf_of_leather_or_of_artif_or_r,manufactured_articles_n_e_s,manufactures_of_metal_n_e_s,meat_fresh_chilled_or_frozen,medicinal_pharmaceutical_products,metal_containers_for_storage_and_tr,metalworking_machinery,mineral_manufactures_n_e_s,musical_instruments_sound_recorder,nails_screws_nuts_bolts_rivets,natural_abrasives_incl_industrial,oil_seeds_oil_nuts_and_oil_kernels,ores_concentrates_of_non_ferrous,organic_chemicals,other_crude_minerals,other_electrical_machinery_and_appa,other_fixed_vegetable_oils,other_inorganic_chemicals,pearls_and_precious_and_semi_precio,perambulators_toys_games_and_spor,perfumery_cosmetics_dentifrices,pig_iron_spiegeleisen_sponge_iron,pigments_paints_varnishes_relat,plastic_materials_regenerd_cellul,power_generating_machinery_other_t,printed_matter,road_motor_vehicles,road_vehicles_other_than_motor_vehi,sanitary_plumbing_heating_light,scientific_medical_optical_meas,silk,soaps_cleansing_polishing_prepar,special_textile_fabrics_and_related,special_transactions_not_classd_acc,spices,stone_sand_and_gravel,synth_organic_dyestuffs_natural_i,synthetic_and_regenerated_artificia,tea_and_mate,telecommunications_apparatus,text_fabrics_woven_ex_narrow_spec,textile_and_leather_machinery,textile_yarn_and_thread,tobacco_manufactures,tobacco_unmanufactured,tools_for_use_in_the_hand_or_in_mac,travel_goods_handbags_and_similar,tubes_pipes_and_fittings_of_iron_o,tulle_lace_embroidery_ribbons_t,vegetable_fibres_except_cotton_and,vegetables_roots_tubers_pres_or,vegetables_roots_tubers_fresh_o,veneers_plywood_boards_other_woo,wood_in_the_rough_or_roughly_square,wood_manufactures_n_e_s,wood_shaped_or_simply_worked,wool_and_other_animal_hair,works_of_art_collectors_pieces_and,ipi_japan,ipi_india,ind_jap_bila_exch,volatility
1972-09-20,3.598,-259.137043859649,1.798,-82.7880723076923,1.42,35.747,561.471,NA,14037.737,2180.126,1892.826,NA,1935.674,NA,6.948,NA,3.362,NA,244.602,11002.394,36035.528,3.371,298.656,1.349,28.843,3117.602,3.828,4.917,NA,NA,5.557,NA,NA,NA,1225.754,124868.384,NA,33.751,9204.411,18.556,NA,9.809,NA,230.881,20.92,17.663,11.833,52.257,299.122,NA,20.444,367.558,8.98,NA,1.507,834.174,13337.059,454.244,3014.868,NA,1783.366,173.79,8742.078,16.466,22.87,5675.414,29.617,NA,NA,9.235,13.116,NA,NA,20.939,364.554,NA,2.424,114.45,830.853,915.936,521.637,NA,1349.181,NA,6504.505,3.785,855.178,NA,5815.609,50.965,1820.658,NA,21.356,5.515,26.122,1.34,3.307,6258.392,4.11,1.657,95.429,1684.878,69.71885087,19.66623501,0.0375,0.1379
1973-09-20,19.432,-208.388631578947,3.5,52.112,1.202,346.32,835.343,119.477,22147.84,22300.814,3141.208,68.934,3596.22,1.913,8.881,NA,2.6605,0.608,336.261,35974.272,60476.56,119.955,336.403,3.536,19.39,6250.249,6.65,5.974,NA,25.885,26.091,NA,183.261,NA,3445.086,125296.984,NA,66.515,16597.048,33.003,8.094,24.609,18.783,3106.967,23.989,28.377,14.794,225.407,371.036,NA,164.389,914.467,17.824,NA,2.823,77.917,17079.296,427.191,3205.714,23.873,1029.462,409.506,11602.294,9.743,26.163,11648.821,33.067,199.37,68.08,11.261,13.679,19.643,260.798,1.187,2277.639,NA,154.649,181.561,1600.996,1490.03,277.21,NA,1926.792,1.152,12218.738,42.657,2822.242,NA,5852.437,203.886,893.832,23.955,228.695,6.6655,26.299,12.207,156.51,13091.601,12.856,5.2305,180.996,3009.893,70.41411192,21.44270153,0.0391,0.4439
1974-09-20,411.147,-157.640219298245,53.76,264.602,0.984,577.435,1522.525,79.907,29957.324,2442.299,4150.271,42.849,3929.44,1.4395,11.264,7.491,1.959,11.232,595.338,22020.32,52998.66,2.2,365.815,7.285,31.891,3963.805,2.627,11.418,NA,27.912,34.589,NA,496.418,14.122,7262.14,132690.264,NA,55.345,7958.415,87.036,33.165,185.735,16.372,11161.146,164.284,16.375,207.359,119.5615,835.152,2.605,29.001,1036.783,16.351,2.115,24.19166666666667,2435.398,29183.732,1598.854,2384.485,2.192,2300.202,668.72,13617.311,27.885,44.938,4632.937,76.369,141.599,197.003,24.353,122.199,5.675,209.2214,17.865,63.095,NA,1271.327,131.661,2096.862,3415.227,1071.754,NA,1596.249,3.854,14229.595,221.694,2735.421,NA,7942.022,428.342,545.848,94.203,79.312,7.816,44.37,13.068,7.042,4760.215,44.886,8.804,313.904,2672.648,70.63439265,21.87593696,0.0412,0.2116
1975-09-20,164.908,-106.891807017544,24.072,176.897,0.981,183.102,895.072,710.198,17706.672,1028.508,5081.3,1263.668,2849.68,0.966,8.736,5.774999999999999,3.458,104.49,17.03,5281.216,95549.744,26.47,363.847,5.813,27.871,8584.429,15.194,2.153,16.355,10.958,1.285,NA,4.996,35.425,5640.999,179669.392,9.516,96.54,13394.25,56.066,10.973,62.365,13.961,742.013,200.128,2.914,13.069,13.716,444.718,3.602666666666666,12.228,883.642,5.977,4.015333333333333,45.56033333333334,7249.606,37176.176,2562.668,1608.576,102.406,2222.469,542.404,16547.461,40.24,38.254,6729.501,50.95,94.57733333333331,235.674,43.766,22.605,0.549,157.6448,11.762,227.56,4.067,859.115,84.725,1221.476,1422.935,439.843,NA,1158.868,1.917,6923.134,17.917,184.203,NA,11559.655,120.779,522.634,74.737,57.808,1.55,57.204,0.6,7.521,5638.372,18.608,6.8815,78.518,1761.235,72.91980522,22.99907938,0.0435,0.1993
1976-09-20,10542.836,3.297,14.245,89.19200000000001,0.733,59.047,3143.909,1030.825,19663.762,2618.132,7562.509,2484.487,2436.028,0.864,6.411,4.058999999999999,24.599,90.025,46.15,19279.76,127866.56,29.757,332.23,15.236,30.654,13534.86,11.709,1.451,4.042,32.929,0.506,760.573,225.396,56.728,9902.743,190510.672,3.726,120.816,20662.96,74.87,7.77,65.753,11.55,704.773,157.062,27.662,20.293,40.5915,284.716,4.600333333333333,91.732,1560.915,7.837,5.915666666666667,66.929,6966.119,41116.392,2893.812,2718.827,20.913,3358.201,1032.801,25894.34,31.99,41.871,21196.966,25.531,47.55566666666665,195.718,56.097,41.782,2.839,106.0682,14.398,522.226,26.964,446.903,10.565,2449.416,2814.937,871.666,NA,1226.382,1.879,10784.306,52.492,135.359,NA,9778.312,207.599,609.826,17.132,11.255,35.221,53.441,25.039,42.273,7387.723,1.534,4.959,199.612,1567.109,79.70032142,25.13582922,0.0486,0.5898
1977-09-20,10.874,145.244,10.01766666666667,1.487,1.006,73.062,5929.991,4087.14,4588.803,2419.474,11266.77,5951.986,2809.209,0.762,7.308,2.343,45.016,1.996,417.66,12346.637,119448.752,247.113,321.786,60.782,66.796,12866.769,7.403,4.329,2.806,28.009,1.598,511.6233333333333,204.292,48.34650000000001,3634.74,212626.112,12.78,48.467,11525.149,175.737,5.396,242.625,9.139,2041.13,349.5,1.999,96.139,67.467,1328.997,5.598,126.656,1374.258,7.279,7.816,85.752,244.326,33071.528,1318.297,3133.277,13.072,3452.193,1113.704,41136.464,43.314,79.179,30520.828,45.789,0.534,112.161,65.692,8.716,5.129,54.49160000000001,1.462,474.488,284.494,4534.483,37.836,5249.39,6082.122,4006.46,NA,2490.012,3.574666666666666,11601.493,67.331,1443.918,0.692,12969.224,231.235,644.885,9.04,4.579,33.696,75.151,49.478,39.358,6477.304,3.202,294.292,91.381,1457.96,82.61215732,27.41317622,0.0562,0.3263
1978-09-20,218.86,43.511,5.790333333333333,1.453,20.454,411.313,12069.539,3209.221,5535.979,4725.762,7861.51,2685.993,3492.184,0.66,5.235,2.155,64.895,7.409,158.063,1834.782,167182.032,16.61,494.229,96.845,132.5596666666667,14182.849,28.841,76.658,6.377,38.731,25.813,262.6736666666667,1403.252,39.965,2281.938,190719.072,12.566,22.237,16693.042,156.747,3.022,54.047,6.727999999999998,1030.214,666.531,19.906,48.49,58.063,2318.899,655.589,3.915,1724.103,10.808,9.334333333333333,88.67,112.938,15644.904,1756.253,3187.41,33.29,3635.32,1176.981,64287.384,35.309,51.844,11606.539,1.013,3.299666666666666,52.497,115.279,28.901,2.187,2.915,5.767,1733.779,4.696,787.951,50.051,4305.091,8379.074,379.776,NA,2767.474,5.270333333333333,12531.686,197.414,341.647,102.988,11702.652,297.932,1108.667,24.203,28.319,2.54,1062.204,5.05,114.01,9081.145,318.542,187.8,101.232,2325.989,82.47448186,29.24747868,0.0581,0.2939
1979-09-20,726.5530000000001,130.152,1.563,12.1425,24.505,155.202,24316.164,11092.75,27064.394,7043.851,12325.767,2195.9066,4361.675,1.1504,13.389,4.742,49.058,92.347,317.178,2704.11,224607.184,4.87,919.435,125.708,198.3233333333333,15561.963,38.221,160.984,2.925,27.0615,23.944,13.724,363.164,440.8875,521.526,231523.232,7.486,36.201,28588.11,537.094,3.771,69.69,4.316999999999998,1394.782,2119.545,50.626,38.006,467.249,2894.572,515.001,21.06,1800.049,39.624,10.85266666666667,62.6915,1210.228,32853.714,4060.201,2235.137,114.597,12791.326,2169.262,7194.477,124.604,58.19500000000001,13127.559,19.439,6.065333333333332,22.309,34.893,18.289,45.572,3.111285714285714,77.837,1340.288,264.66,931.264,70.067,5830.898,12795.039,704.461,NA,2180.82,6.966,15633.174,54.644,580.469,1803.999,7366.275,346.533,1128.565,28.94,214.259,2.78,518.346,108.511,1789.6,3797.351,687.84,44.026,121.1535,3105.976,85.31748002,32.52698915,0.0603,0.123
1980-09-20,1234.246,77.922,1.694333333333333,22.832,28.556,366.182,13088.79,19549.828,25804.484,5754.364,14348.156,1705.8202000000001,6131.965,1.6408,14.458,7.384499999999999,27.003,135.701,415.529,1647.805,172625.92,15.487,907.763,83.351,264.087,10846.115,11.319,212.365,5.863,15.392,33.668,43.0215,257.529,841.8100000000001,287.446,262070.416,5.307,33.423,11246.642,312.055,4.52,26.451,1.906,1302.55,787.69,77.611,17.368,42.061,2083.811,6.598,5.338,2007.294,65.027,12.371,36.713,88.424,29404.194,755.474,3695.559,77.356,8333.615,3092.184,65532.184,181.52,64.546,490.23,61.5675,8.831,58.937,86.319,26.152,2.172,3.307571428571428,11.907,310.686,24.43,769.832,197.485,4275.321,17211.004,812.694,NA,2906.484,10.029,11444.519,258.914,602.603,2016.733,6972.696,286.953,436.818,52.455,134.598,14.5935,472.864,37.853,827.008,8860.06,1562.618,148.578,141.075,2923.595,93.22005119,34.91387114,0.0652,0.8006
1981-09-20,1741.939,100.745,1.825666666666667,2.056,18.569,397.211,16557.632,11186.827,12343.777,5043.352,12658.343,1215.7338,5812.177,2.1312,12.9265,10.027,48.388,30.255,409.121,1061.827,206337.744,40.794,1121.145,165.001,329.8506666666667,6071.645,11.341,45.316,48.565,1.849,1.799,72.319,173.703,1242.7325,814.716,204364.624,3.128,87.075,12388.161,43.783,5.269,57.359,0.809,1248.095,587.207,164.582,31.222,103.655,2137.733,10.067,30.385,2926.029,1063.01,115.881,163.992,86.583,13976.588,1133.727,4257.342,122.144,8395.411,600.589,80308.712,183.218,172.659,2838.6505,103.696,22.696,69.682,35.157,20.305,1.271,3.503857142857143,76.396,119.5,12.93,1272.547,149.807,2990.552,15291.854,391.801,NA,3070.115,9.910499999999999,12809.866,89.324,500.833,1169.36,9633.394,635.597,708.293,75.97,187.995,26.407,547.901,62.313,1004.94,496.338,1409.134,139.743,61.06,2666.685,98.61473008,36.82991614,0.0728,0.6005
