year,agricultural_machinery_and_implemen,aircraft,alcoholic_beverages,aluminium,anim_veg_oils_fats_processed,animal_oils_and_fats,articles_of_artificial_plastic_mate,articles_of_paper_pulp_paperboard,articles_of_rubber_n_e_s,chemical_materials_and_products_n,clay_and_refractory_construction_ma,clothing_except_fur_clothing,coal_coke_briquettes,copper,cotton_fabrics_woven_ex_narrow_or,crude_animal_materials_n_e_s,crude_chemicals_from_coal_petroleu,crude_rubber_incl_synthetic_recl,crude_vegetable_materials_n_e_s,cutlery,developed_cinematographic_film,domestic_electrical_equipment,dyeing_tanning_extracts_synth_t,elec_apparatus_for_medic_purp_ra,electric_power_machinery_and_switch,equipment_for_distributing_electric,essential_oils_perfume_and_flavour,explosives_and_pyrotechnic_products,fertilizers_manufactured,fertilizers_crude,finished_structural_parts_and_struc,furniture,glass,glassware,hoop_and_strip_of_iron_or_steel,ingots_other_primary_forms_of_iro,inorg_chemicals_elems_oxides_ha,iron_and_steel_bars_rods_angles,iron_and_steel_scrap,iron_and_steel_wire_excluding_wire,iron_steel_castings_forgings_unwork,lead,lime_cement_fabr_bldg_mat_ex_g,machinery_and_appliances_non_electr,machines_for_special_industries,made_up_articles_wholly_or_chiefly,manuf_of_leather_or_of_artif_or_r,manufactured_articles_n_e_s,manufactures_of_metal_n_e_s,materials_of_rubber,medicinal_pharmaceutical_products,metal_containers_for_storage_and_tr,metalworking_machinery,mineral_manufactures_n_e_s,miscell_non_ferrous_base_metals,musical_instruments_sound_recorder,nails_screws_nuts_bolts_rivets,natural_abrasives_incl_industrial,nickel,non_ferrous_metal_scrap,office_and_stationery_supplies_n_e,office_machines,ores_concentrates_of_non_ferrous,organic_chemicals,other_crude_minerals,other_electrical_machinery_and_appa,other_fixed_vegetable_oils,other_inorganic_chemicals,paper_and_paperboard,pearls_and_precious_and_semi_precio,perambulators_toys_games_and_spor,photographic_and_cinematographic_su,pig_iron_spiegeleisen_sponge_iron,pigments_paints_varnishes_relat,plastic_materials_regenerd_cellul,power_generating_machinery_other_t,printed_matter,pulp_waste_paper,road_motor_vehicles,road_vehicles_other_than_motor_vehi,sanitary_plumbing_heating_light,scientific_medical_optical_meas,ships_and_boats,silk,soaps_cleansing_polishing_prepar,special_textile_fabrics_and_related,special_transactions_not_classd_acc,sulphur_unroasted_iron_pyrites,synth_organic_dyestuffs_natural_i,synthetic_and_regenerated_artificia,telecommunications_apparatus,text_fabrics_woven_ex_narrow_spec,textile_and_leather_machinery,textile_yarn_and_thread,tin,tools_for_use_in_the_hand_or_in_mac,travel_goods_handbags_and_similar,tubes_pipes_and_fittings_of_iron_o,tulle_lace_embroidery_ribbons_t,universals_plates_and_sheets_of_ir,waste_materials_from_textile_fabric,watches_and_clocks,wire_products_ex_electric_fenc,wood_manufactures_n_e_s,wool_and_other_animal_hair,zinc,x108,x109,x110,x111
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980-09-20,1217.986,544.186,20.057,4579.165,1084.025,64.778,216.225,247.421,2384.644,5402.198,1385.283,397.978,31.494,7873.713,19.447,34.415,1030.8505,3704.705,61.279,4.8505,12.764,158.957,29.233,359.224,8969.509,5382.773,93.798,10.011,1959.124,157.201,4454.057,39.902,1806.97,467.464,6452.077,3482.507,5743.83,72051.88,661.078,3153.96,1441.109,60.376,3021.959,76379.128,8121.552,48.467,2.115,2895.571,2198.44,821.186,5605.215,466.333,19017.128,1208.37,2111.541,2208.978,501.209,7.2535,407.088,592.76,70.882,1784.134,388.627,33339.86,640.03,21946.696,4935.17,3790.036,7108.099,3276.889,288.549,6894.295,2763.407,474.247,26791.556,4948.564,1530.331,2.503,7158.72,74.503,19.518,9614.446,1591.325,244.956,535.703,441.064,69.951,126.33,948.374,54800.824,11861.953,107.795,7491.83,25389.604,164.427,1103.28,1.826,43203.7,109.507,118168.504,1406.723,7128.543,175.379,7.136,208.059,321.062,69.71885087,19.66623501,0.0375,0.1379
1981-09-20,319.369,2691.639,1.032,774.603,449.807,3522.409,157.91,224.854,3553.473,3508.67,728.918,1499.263,249.444,7931.654,11.268,40.079,1313.446666666667,9467.435,45.478,5.005,248.184,446.583,124.517,769.801,12624.498,9763.178,17.605,12.321,47.352,235.251,12215.529,56.885,2020.263,1470.886,5786.039,4233.776,5577.555,77190.048,528.018,2507.4,2102.734,12.667,773.431,97026.2,18831.412,1.843,3.614,2433.528,4230.564,1375.967,4834.509,343.125,12985.275,1249.064,1752.843,2766.495,730.565,11.02,136.924,180.915,60.23,1860.767,827.392,36692.104,489.924,19003.594,477.38,3693.185,8563.306,4441.336,273.043,8693.866,488.171,422.862,24513.644,16651.686,1511.266,2049.737,6786.044,287.852,10.484,10861.001,30401.846,18.86,1719.905,989.481,225.53,82.381,803.651,78266.288,34869.236,97.625,11617.103,27508.226,4.837,1234.311,1.2173333335,54064.752,91.648,112932.88,1146.245,6817.971,115.901,72.93,318.285,495.885,70.41411192,21.44270153,0.0391,0.4439
1982-09-20,674.0926667,3108.598667,7.331666667,1537.833667,883.059,4686.368667,239.2676667,305.8736667,4631.362667,3998.226667,1365.925,2022.656,265.5993333,9142.538333,15.34433333,46.80966667,1596.042833333333,11932.569,63.15633333,3.542666667,104.4666667,423.4696667,-8.097,1146.142667,14918.053,13412.49233,22.86266667,19.765,-64671.33733,313.668,17772.05767,76.724,2411.590667,1590.86,6924.544333,4506.700333,5300.64,103164.2027,313.5013333,3081.959333,2120.503667,30.204,378.7923333,114107.3627,21591.998,18.613,5.523666667,2516.772333,4658.563333,1999.173333,2263.186333,-287.347,17942.11067,1268.924,1264.639,3867.449333,1141.156333,12.36866667,-616.3266667,221.6873333,94.348,2587.363333,1112.687,36377.49733,150.9006667,6666.864,-2032.674,1816.361333,10329.98967,4767.897,391.069,10989.20033,1507.139,177.8143333,21794.89333,18692.522,1695.059667,2732.338333,6231.684667,398.6636667,16.49,13130.772,40967.607,69.59933333,2147.829667,1185.72,-3872.561667,38.432,286.7233333,76936.57867,35553.78967,132.3516667,14736.572,31449.82133,-1715.154333,1536.035333,0.608666667,61375.35867,118.8496667,97032.76533,1461.149667,9794.029667,212.9943333,99.61866667,320.5876667,723.8746667,70.63439265,21.87593696,0.0412,0.2116
1983-09-20,545.435,242.447,5.219777778000001,2206.99,68.26,1.37,832.121,273.679,4799.921,7697.696,16201.63,61.376,1092.168,10821.313,689.677,39.991,1878.639,14526.507,35.478,21.583,300.651,334.834,51.715,644.7,67950.84,10843.953,50.622,43.05,-40909.79155333334,724.5853333333333,9748.78,271.798,2129.017,822.298,7113.963,12826.903,11754.424,67909.08,1219.95,4530.212,5022.777,157.48,10343.727,233730.896,44144.436,14.947,14.028,5577.407,12015.174,1255.292,10680.248,4735.629,23405.312,3328.31,2096.494,8089.915,2351.001,19.887,743.376,61.671,150.059,5726.854,116.564,48502.512,876.764,38164.732,4027.599,5333.643,10106.118,4800.168,310.455,13433.42,1422.137,1522.269,34066.504,63385.556,2785.326,73.345,13955.692,3347.096,12.263,23351.936,50933.788,413.909,1479.798,3162.928,166.428,2.223,620.211,55292.688,53279.244,1677.687,23550.64,34958.528,85.63,6328.327,0.512,82480.632,212.159,141827.376,2320.282,9488.062,100.628,449.837,33.237,687.44,72.91980522,22.99907938,0.0435,0.1993
1984-09-20,385.694,60.063,3.107888889000001,2231.618,50.438,1.326,991.036,219.636,3617.776,5506.988,833.553,24.949,356.383,9873.31,393.043,24.498,774.712,17163.136,130.704,3.777,144.463,2043.1,37.476,4194.587,42208.348,5751.506,72.001,1.295,-17148.24577666667,1135.502666666667,607.669,50.074,1428.097,854.519,4514.517,11339.528,11061.271,33560.272,1812.154,3695.099,5082.928,37.45,777.77,166530.64,29517.12,23.786,29.275,3346.572,6931.534,710.961,5912.481,1485.945,28521.788,2930.027,1171.794,11329.509,2192.604,32.16,324.838,210.941,291.372,5302.941,24.664,33416.22,810.439,41075.3,3979.14,4512.361,9385.78,4361.308,221.754,16255.697,828.558,1815.536,17270.076,26715.176,1743.06,3915.158,54336.368,7600.804,26.971,22195.332,36891.616,287.147,1022.589,1544.146,109.474,7.704,440.412,29177.416,35593.712,718.977,19232.288,31820.592,126.6775,3544.578,0.6215454545454546,53707.18,236.485,115654.32,1214.873,5502.253,748.979,554.139,151.287,224.284,79.70032142,25.13582922,0.0486,0.5898
1985-09-20,350.978,263.596,0.996,3203.095,13.1,3.83975,1222.127,283.214,5400.655,6600.558,4634.166,11.953,1641.719,7601.786,192.801,20.211,1819.26,20172.222,94.094,45.119,53.955,666.157,99.357,11188.371,58470.284,5631.416,122.653,1.228,6613.3,1546.42,4751.795,213.446,2021.621,1601.303,8456.415,29565.846,12218.452,35886.964,2067.157,3768.173,3558.299,4.119,191.104,191521.584,41231.3,54.291,28.437,5262.608,17235.172,967.098,6258.445,1707.939,20262.856,2664.268,980.773,12647.903,1231.014,41.977,884.189,485.068,529.094,18581.61,56.716,39240.32,3365.836,67177.456,1.802,2642.911,9779.629,2258.713,384.738,20575.996,4904.914,3068.884,28897.18,32918.67,2177.76,1363.706,177049.616,26935.732,28.127,28887.124,3470.151,465.124,2179.514,2316.696,940.229,22.621,410.424,28806.588,45827.26,822.195,24472.192,48903.636,167.725,5824.864,0.7310909090909091,129511.568,141.557,125693.856,1302.08,7405.399,1092.329,140.541,215.318,744.936,82.61215732,27.41317622,0.0562,0.3263
1986-09-20,110.712,415.689,15.188,2823.291,15.562,6.3535,1592.829,420.015,9424.924,15181.896,10706.128,57.892,7623.587,7186.286,61.585,8.472,695.923,21404.636,229.352,188.861,251.601,1338.742,209.419,11138.507,61733.208,8362.448,983.96,273.93,3953.711,935.091,7913.243,123.199,10498.787,3336.594,10235.873,31303.054,12201.776,38981.896,1167.476,2976.867,3969.447,50.101,944.065,396875.68,63357.664,22.603,69.954,3124.768,11131.265,2375.979,8562.38,2234.995,13961.323,3220.453,4832.168,12067.223,1662.018,291.553,993.339,578.648,792.825,25980.948,31.172,37009.232,3463.252,85181.504,6976.11,2907.166,10745.277,3260.923,423.205,32285.424,1897.045,2433.89,42699.98,42258.664,2142.808,1064.375,160506.752,65087.42,97.175,51815.996,111047.8,174.043,1722.512,1805.899,356.792,21.249,327.327,17041.68,65821.264,789.876,54054.124,34155.092,100.661,6239.132,0.8406363636363636,150115.712,191.894,134444.992,1385.229,16259.66,888.478,105.676,192.18,366.558,82.47448186,29.24747868,0.0581,0.2939
1987-09-20,848.085,541.398,25.793,2953.995,720.996,8.86725,3482.578,303.275,8607.019,8346.372,993.532,22.565,3591.321,7603.544,330.027,2.981,54.566,14892.918,50.514,71.206,232.889,270.069,285.559,6655.449,51373.424,5167.647,1.934,23.467,6467.407999999999,323.762,1325.5,86.733,19486.372,2010.541,10235.873,15808.997,11083.051,23346.448,839.464,3800.696,608.135,32.683,30.496,206633.648,14380.516,20.506,23.587,4383.387,5530.666,1840.374,5059.327,409.577,34619.22,2194.693,1915.193,12330.756,1058.683,106.323,184.145,398.774,1853.688,25137.672,2145.268,44133.632,4097.55,94771.232,2.37,2024.029,7896.958,1755.061,264.153,37075.084,472.76,4391.024,29878.162,28472.2,1555.787,73.946,106403.088,37015.552,1795.246,51254.176,25687.926,348.829,1411.577,1003.627,217137.28,186.677,481.323,9456.15,66304.728,1264.049,31548.072,52236.12,135.597,4643.577,0.9501818181818182,53592.368,119.074,149024.928,887.872,14248.579,60.446,75.78450000000001,113.24,125.602,85.31748002,32.52698915,0.0603,0.123
1988-09-20,872.182,120.726,13.5075,3671.144,1283.219,11.381,1294.635,863.323,8233.003,10010.603,125.586,25.244,5780.423,6644.149,457.036,6.818666666666667,155.025,20856.53,512.549,151.265,236.703,226.099,68.389,11888.045,74384.752,6617.425,13.298,8.566,8981.105,239.4265,2909.577,370.346,36151.952,931.95,10235.873,23251.336,12120.622,23466.996,2559.212,5610.927,415.7,405.638,18.322,131372.136,34473.044,29.887,82.209,3638.575,7731.925,1380.834,10067.979,1321.522,18554.536,2972.731,1310.731,15335.283,2370.427,171.44,462.85,626.246,1962.47,32125.832,2788.479,69340.288,7710.569,131906.784,1.568,3183.484,8041.366,1440.884,663.765,37508.5,407.404,4452.456,32168.892,37863.588,6136.039,479.558,125873.4,48506.728,737.504,71575.856,10841.905,1254.529,1908.43,1136.216,195719.648,108.953,1029.21,10131.721,86885.52,3040.58,24746.6,51884.348,4.376,6540.573,1.059727272727273,37232.136,95.864,177583.408,1147.271,8561.088,1064.754,45.893,99.89,76.694,93.22005119,34.91387114,0.0652,0.8006
